FIPS,county,cqr_census_2010_count,july1_2019_pop_est,jan1_2020_pop_est,num_chg_10_19,num_chg_10_20,pct_chg_10_19,pct_chg_10_20
449,Titus,32334,33690,33596,1356,1262,4.2,3.9
451,Tom Green,110224,117613,117791,7389,7567,6.7,6.9
453,Travis,1024266,1273554,1285526,249288,261260,24.3,25.5
455,Trinity,14585,14530,14457,-55,-128,-0.4,-0.9
457,Tyler,21766,22735,22966,969,1200,4.5,5.5
459,Upshur,39309,41204,41262,1895,1953,4.8,5
461,Upton,3355,3619,3581,264,226,7.9,6.7
463,Uvalde,26405,26743,26260,338,-145,1.3,-0.5
465,Val Verde,48879,50853,50988,1974,2109,4,4.3
467,Van Zandt,52579,56376,56503,3797,3924,7.2,7.5
469,Victoria,86793,91329,90940,4536,4147,5.2,4.8
471,Walker,67861,75949,77300,8088,9439,11.9,13.9
473,Waller,43205,54822,55626,11617,12421,26.9,28.7
475,Ward,10658,11530,11635,872,977,8.2,9.2
477,Washington,33718,35570,35612,1852,1894,5.5,5.6
479,Webb,250304,280775,280547,30471,30243,12.2,12.1
481,Wharton,41280,41224,41279,-56,-1,-0.1,0
483,Wheeler,5410,5178,5168,-232,-242,-4.3,-4.5
485,Wichita,131500,132920,132756,1420,1256,1.1,1
487,Wilbarger,13535,12465,12393,-1070,-1142,-7.9,-8.4
489,Willacy,22134,21566,21502,-568,-632,-2.6,-2.9
491,Williamson,422679,589216,602686,166537,180007,39.4,42.6
493,Wilson,42918,52127,52839,9209,9921,21.5,23.1
495,Winkler,7110,7990,8145,880,1035,12.4,14.6
497,Wise,59127,69609,70078,10482,10951,17.7,18.5
499,Wood,41964,45084,45528,3120,3564,7.4,8.5
501,Yoakum,7879,8829,8773,950,894,12.1,11.3
503,Young,18550,19029,19294,479,744,2.6,4
505,Zapata,14018,14196,14280,178,262,1.3,1.9
507,Zavala,11677,12116,12077,439,400,3.8,3.4
509,State of Texas,25145565,29001602,29149480,3856037,4003915,15.3,15.9
